ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,Lim mount.stp,,2
2,SingleWheelLateralAssembly_v1.stp,,4
3,Vertic_Assm_3_1.stp,,2
4,SpaceX Track.stp,,1
5,90642A359_FULLY THREADED CORROSION-RESISTANT T-SLOT NUT.stp,,8
6,91292A147_TYPE 18-8 SS SOCKET HEAD CAP SCREW.stp,,8
7,Top tslot.stp,,2
8,side t slot.stp,,2
9,47065T417 top supports.stp,,3
10,front top_ALUMINUM T-SLOTTED FRAMING EXTRUSION.stp,,2
11,47065T417 top.stp,,2
